id,city_slug,region_slug,field_type_slug,field_type_name,date,value,national_avg
124369,buffalo,eastern,average-processing-time,Average Processing Time,Tue 15 Oct 2013 00:00:00 GMT-0800,296.6,344.9
124059,buffalo,eastern,average-processing-time,Average Processing Time,Mon 07 Oct 2013 00:00:00 GMT-0800,302.5,347.0
123801,buffalo,eastern,average-processing-time,Average Processing Time,Sat 28 Sep 2013 00:00:00 GMT-0800,317.1,378.1
123505,buffalo,eastern,average-processing-time,Average Processing Time,Sat 21 Sep 2013 00:00:00 GMT-0800,318.1,378.0
123204,buffalo,eastern,average-processing-time,Average Processing Time,Sat 14 Sep 2013 00:00:00 GMT-0800,317.0,377.8
122919,buffalo,eastern,average-processing-time,Average Processing Time,Sat 07 Sep 2013 00:00:00 GMT-0800,315.7,377.2
122659,buffalo,eastern,average-processing-time,Average Processing Time,Sat 31 Aug 2013 00:00:00 GMT-0800,313.9,376.6
120995,buffalo,eastern,average-processing-time,Average Processing Time,Sat 24 Aug 2013 00:00:00 GMT-0800,311.4,375.8
120710,buffalo,eastern,average-processing-time,Average Processing Time,Sat 17 Aug 2013 00:00:00 GMT-0800,309.4,374.9
120425,buffalo,eastern,average-processing-time,Average Processing Time,Sat 10 Aug 2013 00:00:00 GMT-0800,307.5,373.8
120140,buffalo,eastern,average-processing-time,Average Processing Time,Sat 03 Aug 2013 00:00:00 GMT-0800,304.9,372.6
119855,buffalo,eastern,average-processing-time,Average Processing Time,Sat 27 Jul 2013 00:00:00 GMT-0800,303.5,371.3
119570,buffalo,eastern,average-processing-time,Average Processing Time,Sat 20 Jul 2013 00:00:00 GMT-0800,301.0,370.1
119285,buffalo,eastern,average-processing-time,Average Processing Time,Sat 13 Jul 2013 00:00:00 GMT-0800,298.0,369.2
119000,buffalo,eastern,average-processing-time,Average Processing Time,Sat 06 Jul 2013 00:00:00 GMT-0800,296.5,368.5
118715,buffalo,eastern,average-processing-time,Average Processing Time,Mon 01 Jul 2013 00:00:00 GMT-0800,296.6,368.6
118430,buffalo,eastern,average-processing-time,Average Processing Time,Mon 24 Jun 2013 00:00:00 GMT-0800,294.2,367.5
118145,buffalo,eastern,average-processing-time,Average Processing Time,Mon 17 Jun 2013 00:00:00 GMT-0800,292.3,365.5
117860,buffalo,eastern,average-processing-time,Average Processing Time,Mon 10 Jun 2013 00:00:00 GMT-0800,290.5,360.4
117575,buffalo,eastern,average-processing-time,Average Processing Time,Mon 03 Jun 2013 00:00:00 GMT-0800,288.7,354.7
117290,buffalo,eastern,average-processing-time,Average Processing Time,Tue 28 May 2013 00:00:00 GMT-0800,286.7,350.1
117005,buffalo,eastern,average-processing-time,Average Processing Time,Mon 20 May 2013 00:00:00 GMT-0800,285.9,345.0
116720,buffalo,eastern,average-processing-time,Average Processing Time,Mon 13 May 2013 00:00:00 GMT-0800,283.5,338.4
116435,buffalo,eastern,average-processing-time,Average Processing Time,Mon 06 May 2013 00:00:00 GMT-0800,282.3,331.5
115252,buffalo,eastern,average-processing-time,Average Processing Time,Mon 29 Apr 2013 00:00:00 GMT-0800,281.7,324.8
62454,buffalo,eastern,average-processing-time,Average Processing Time,Fri 01 Mar 2013 00:00:00 GMT-0800,279.3,291.5
37589,buffalo,eastern,average-processing-time,Average Processing Time,Fri 01 Feb 2013 00:00:00 GMT-0800,275.3,286.4
31406,buffalo,eastern,average-processing-time,Average Processing Time,Tue 01 Jan 2013 00:00:00 GMT-0800,260.8,279.0
5165,buffalo,eastern,average-processing-time,Average Processing Time,Sat 01 Dec 2012 00:00:00 GMT-0800,240.3,272.5
5051,buffalo,eastern,average-processing-time,Average Processing Time,Thu 01 Nov 2012 00:00:00 GMT-0800,235.0,272.3
4919,buffalo,eastern,average-processing-time,Average Processing Time,Mon 01 Oct 2012 00:00:00 GMT-0800,267.3,277.1
4823,buffalo,eastern,average-processing-time,Average Processing Time,Sat 01 Sep 2012 00:00:00 GMT-0800,277.1,262.0
4709,buffalo,eastern,average-processing-time,Average Processing Time,Wed 01 Aug 2012 00:00:00 GMT-0800,276.9,259.8
4577,buffalo,eastern,average-processing-time,Average Processing Time,Sun 01 Jul 2012 00:00:00 GMT-0800,277.7,256.8
3727,buffalo,eastern,average-processing-time,Average Processing Time,Fri 01 Jun 2012 00:00:00 GMT-0800,276.5,253.9
460,buffalo,eastern,average-processing-time,Average Processing Time,Tue 01 May 2012 00:00:00 GMT-0800,275.1,250.2
346,buffalo,eastern,average-processing-time,Average Processing Time,Sun 01 Apr 2012 00:00:00 GMT-0800,271.4,246.1
232,buffalo,eastern,average-processing-time,Average Processing Time,Thu 01 Mar 2012 00:00:00 GMT-0800,270.1,240.7
118,buffalo,eastern,average-processing-time,Average Processing Time,Wed 01 Feb 2012 00:00:00 GMT-0800,263.0,236.1
4,buffalo,eastern,average-processing-time,Average Processing Time,Sun 01 Jan 2012 00:00:00 GMT-0800,261.1,231.5
574,buffalo,eastern,average-processing-time,Average Processing Time,Thu 01 Dec 2011 00:00:00 GMT-0800,257.0,226.9
688,buffalo,eastern,average-processing-time,Average Processing Time,Tue 01 Nov 2011 00:00:00 GMT-0800,249.6,223.7
