id,city_slug,region_slug,field_type_slug,field_type_name,date,value,national_avg
124394,portland,western,average-processing-time,Average Processing Time,Tue 15 Oct 2013 00:00:00 GMT-0800,351.5,344.9
124084,portland,western,average-processing-time,Average Processing Time,Mon 07 Oct 2013 00:00:00 GMT-0800,352.8,347.0
123794,portland,western,average-processing-time,Average Processing Time,Sat 28 Sep 2013 00:00:00 GMT-0800,379.2,378.1
123498,portland,western,average-processing-time,Average Processing Time,Sat 21 Sep 2013 00:00:00 GMT-0800,377.8,378.0
123229,portland,western,average-processing-time,Average Processing Time,Sat 14 Sep 2013 00:00:00 GMT-0800,376.6,377.8
122955,portland,western,average-processing-time,Average Processing Time,Sat 07 Sep 2013 00:00:00 GMT-0800,374.6,377.2
122684,portland,western,average-processing-time,Average Processing Time,Sat 31 Aug 2013 00:00:00 GMT-0800,372.8,376.6
120988,portland,western,average-processing-time,Average Processing Time,Sat 24 Aug 2013 00:00:00 GMT-0800,369.6,375.8
120703,portland,western,average-processing-time,Average Processing Time,Sat 17 Aug 2013 00:00:00 GMT-0800,367.3,374.9
120418,portland,western,average-processing-time,Average Processing Time,Sat 10 Aug 2013 00:00:00 GMT-0800,365.2,373.8
120133,portland,western,average-processing-time,Average Processing Time,Sat 03 Aug 2013 00:00:00 GMT-0800,363.3,372.6
119848,portland,western,average-processing-time,Average Processing Time,Sat 27 Jul 2013 00:00:00 GMT-0800,361.9,371.3
119563,portland,western,average-processing-time,Average Processing Time,Sat 20 Jul 2013 00:00:00 GMT-0800,360.1,370.1
119278,portland,western,average-processing-time,Average Processing Time,Sat 13 Jul 2013 00:00:00 GMT-0800,358.0,369.2
118993,portland,western,average-processing-time,Average Processing Time,Sat 06 Jul 2013 00:00:00 GMT-0800,356.7,368.5
118708,portland,western,average-processing-time,Average Processing Time,Mon 01 Jul 2013 00:00:00 GMT-0800,356.8,368.6
118423,portland,western,average-processing-time,Average Processing Time,Mon 24 Jun 2013 00:00:00 GMT-0800,354.2,367.5
118138,portland,western,average-processing-time,Average Processing Time,Mon 17 Jun 2013 00:00:00 GMT-0800,353.5,365.5
117853,portland,western,average-processing-time,Average Processing Time,Mon 10 Jun 2013 00:00:00 GMT-0800,348.9,360.4
117568,portland,western,average-processing-time,Average Processing Time,Mon 03 Jun 2013 00:00:00 GMT-0800,345.2,354.7
117283,portland,western,average-processing-time,Average Processing Time,Tue 28 May 2013 00:00:00 GMT-0800,341.6,350.1
116998,portland,western,average-processing-time,Average Processing Time,Mon 20 May 2013 00:00:00 GMT-0800,335.7,345.0
116713,portland,western,average-processing-time,Average Processing Time,Mon 13 May 2013 00:00:00 GMT-0800,332.5,338.4
116428,portland,western,average-processing-time,Average Processing Time,Mon 06 May 2013 00:00:00 GMT-0800,329.6,331.5
115245,portland,western,average-processing-time,Average Processing Time,Mon 29 Apr 2013 00:00:00 GMT-0800,327.4,324.8
62482,portland,western,average-processing-time,Average Processing Time,Fri 01 Mar 2013 00:00:00 GMT-0800,323.1,291.5
37635,portland,western,average-processing-time,Average Processing Time,Fri 01 Feb 2013 00:00:00 GMT-0800,317.3,286.4
31434,portland,western,average-processing-time,Average Processing Time,Tue 01 Jan 2013 00:00:00 GMT-0800,314.7,279.0
